"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_shape1_6","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0073_151",1,151,1,7,"test"," (Operator: lizbethpino, Time: )","VF22-0073","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,0,0.75,NA,NA,4,18.75,NA,NA
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0075_221",1,221,21,9,"test"," (Operator: lizbethpino, Time: )","VF22-0075","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,220,11.65625,3.73,2,19,4,1,220,2,4,2,0.75,26.3980597,5,4,18.75,11.65625,3.07702383378125
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0081_134",1,134,17,6,"test"," (Operator: lizbethpino, Time: )","VF22-0081","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,175,18.65625,5.97,3,43,4,1,175,4,3,2,1,14.41058091,1,4,25,18.65625,2.68847400102188
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0083_296",1,296,5,12,"test"," (Operator: lizbethpino, Time: )","VF22-0083","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,140,5.9375,1.9,2,26,4,1,140,4,1,2,1,17.2692278,1,4,25,5.9375,1.025360400625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0086_299",1,299,2,12,"test"," (Operator: lizbethpino, Time: )","VF22-0086","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,115,2.5,0.8,3,9,4,1,115,4,5,4,1,18.47272727,5,4,25,2.5,0.46181818175
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0089_194",1,194,7,8,"test"," (Operator: lizbethpino, Time: )","VF22-0089","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,250,19.640625,6.285,2,37,4,1,250,3,4,0,0.75,26.42057239,1,4,18.75,19.640625,5.18916554597344
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0090_130",1,130,21,6,"test"," (Operator: lizbethpino, Time: )","VF22-0090","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,175,21.46875,6.87,2,36,4,2,300,4,4,0,1,15.5,5,4,25,21.46875,3.32765625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0091_103",1,103,3,5,"test"," (Operator: lizbethpino, Time: )","VF22-0091","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,215,24.671875,7.895,2,25,4,1,215,3,5,0,1,22.5,5,4,25,24.671875,5.551171875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0092_88",1,88,13,4,"test"," (Operator: lizbethpino, Time: )","VF22-0092","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,220,32.96875,10.55,3,47,4,1,220,4,4,0,0.75,22.5,5,4,18.75,32.96875,7.41796875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0094_246",1,246,5,10,"test"," (Operator: lizbethpino, Time: )","VF22-0094","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,130,20,6.4,3,36,4,1,130,4,2,2,1,18.5,3,4,25,20,3.7
